provider	URL	course	webinar_date	webinar_duration	webinare_title
Other	https://kinescope.io/embed/201002618	Other	2022-03-30T11:09:50+00:00	PT58M47.576S	React
Other	https://kinescope.io/embed/201002622	Other	2022-03-30T11:09:51+00:00	PT43M30.109S	Библиотека UI компонентов, о которой вы всегда мечтали / Роберт Харитонов (Liberty Global)
Other	https://kinescope.io/embed/201002623	Other	2022-03-30T11:09:54+00:00	PT22M32.772S	17.Мини воронка продаж
Other	https://kinescope.io/embed/201002624	Other	2022-03-30T11:09:55+00:00	PT15M58.845S	18.Воронка продаж без лид магнита
Other	https://kinescope.io/embed/201002627	Other	2022-03-30T11:10:06+00:00	PT13M45.238S	19.Меню группы
Other	https://kinescope.io/embed/201002628	Other	2022-03-30T11:10:06+00:00	PT15M8.319S	20.Другие разделы группы
Other	https://kinescope.io/embed/201002636	Other	2022-03-30T11:10:48+00:00	PT4M18.648S	Видеоотчёт о HighLoad++ 2016 (первая версия)
Other	https://kinescope.io/embed/201002638	Other	2022-03-30T11:10:48+00:00	PT56M37.15S	Cистемы с непосредственным жидкостным охлаждением / Василий Кирсанов (ТК Связь)
Other	https://kinescope.io/embed/201002641	Other	2022-03-30T11:10:48+00:00	PT41M7.632S	Пайплайн машинного обучения на Apache Spark / Павел Клеменков (Rambler&amp;Co)
Other	https://kinescope.io/embed/201002643	Other	2022-03-30T11:10:49+00:00	PT49M47.387S	Open Source SQL-базы данных вступили в эру млн. запросов в сек. / Ф.Сигаев, С.Смирнова, А.Распопина
Other	https://kinescope.io/embed/201002645	Other	2022-03-30T11:10:49+00:00	PT52M30.298S	Sphinx 3.0 и RT-индексы на основном поиске Avito / Андрей Смирнов, Вячеслав Крюков (Avito)
Other	https://kinescope.io/embed/201002651	Other	2022-03-30T11:10:49+00:00	PT47M50.985S	&quot;Распределенные&quot; вычисления на мобильных платформах / Денис Свинарчук (Московская Биржа)
Other	https://kinescope.io/embed/201002655	Other	2022-03-30T11:10:49+00:00	PT52M52.473S	Превышаем скоростные лимиты с Angular 2 / Алексей Охрименко (IPONWEB)
Other	https://kinescope.io/embed/201002657	Other	2022-03-30T11:10:50+00:00	PT56M50.501S	Хайлоад и безопасность в мире DevOps
Other	https://kinescope.io/embed/201002659	Other	2022-03-30T11:10:50+00:00	PT54M54.842S	Масштабируя TLS / Артём Гавриченков (Qrator Labs)
Other	https://kinescope.io/embed/201002661	Other	2022-03-30T11:10:50+00:00	PT37M5.424S	Неочевидные детали при запуске HTTPS в OK.Ru / Андрей Домась (Одноклассники)
Other	https://kinescope.io/embed/201002671	Other	2022-03-30T11:10:51+00:00	PT43M31.317S	Собираем GPS-треки от водителей в такси раз в секунду, экономя трафик / Андрей Минкин (MadDevs)
Other	https://kinescope.io/embed/201002673	Other	2022-03-30T11:10:51+00:00	PT52M40.817S	Linux Kernel Extension for Databases / Александр Крижановский (Tempesta Technologies)
Other	https://kinescope.io/embed/201002681	Other	2022-03-30T11:10:51+00:00	PT41M44.83S	Как SRE следит за стабильностью и скоростью HeadHunter / Антон Иванов (HeadHunter)
Other	https://kinescope.io/embed/201002683	Other	2022-03-30T11:10:51+00:00	PT55M59.231S	Выбираем СУБД для хранения временных рядов / Павел Филонов (Лаборатория Касперского)
Other	https://kinescope.io/embed/201002685	Other	2022-03-30T11:10:52+00:00	PT53M34.943S	Sphinx 3.0, поиск 15 лет спустя / Андрей Аксенов (Sphinx)
Other	https://kinescope.io/embed/201002687	Other	2022-03-30T11:10:52+00:00	PT56M33.736S	Семантическое ядро рунета - рекомендательная система Amazon Kinesis/Lucene / А.Сербул (1С-Битрикс)
Other	https://kinescope.io/embed/201002703	Other	2022-03-30T11:10:53+00:00	PT50M13.417S	За счет чего Tarantool такой оптимальный / Денис Аникин (Mail.Ru)
Other	https://kinescope.io/embed/201002707	Other	2022-03-30T11:10:53+00:00	PT50M43.626S	Быстрое прототипирование бэкенда игры с геолокацией / Александр Гладыш (LogicEditor)
Other	https://kinescope.io/embed/201002711	Other	2022-03-30T11:10:53+00:00	PT47M23.725S	Язык Lua — секреты производительности / Ник Заварицкий (Mail.ru)
Other	https://kinescope.io/embed/201002715	Other	2022-03-30T11:10:54+00:00	PT48M34.453S	Велосипед уже изобретен. Что умеют промышленные СХД? / Антон Жбанков (Nutanix)
Other	https://kinescope.io/embed/201002719	Other	2022-03-30T11:10:54+00:00	PT45M10.489S	Highload на GPU, опыт Vinci / Олег Илларионов (ВКонтакте)
Other	https://kinescope.io/embed/201002721	Other	2022-03-30T11:10:54+00:00	PT36M29.665S	Высокопроизводительный инференс глубоких сетей на GPU с помощью TensorRT / Максим Милаков (NVidia)
Other	https://kinescope.io/embed/201002723	Other	2022-03-30T11:10:54+00:00	PT54M9.865S	Artisto
Other	https://kinescope.io/embed/201002725	Other	2022-03-30T11:10:54+00:00	PT1H7M7.757S	Стратегия и тактика улучшения производительности BSS систем / О.Филатьев, П.Нашатырев (Yota)
Other	https://kinescope.io/embed/201002729	Other	2022-03-30T11:10:55+00:00	PT48M45.274S	Виртуальный ЦОД для корпоративных клиентов / Д.Канаев (Caravan), Д.Лунев (Virtuozzo)
Other	https://kinescope.io/embed/201002731	Other	2022-03-30T11:10:55+00:00	PT40M40.789S	Опыт построения СХД на базе Windows Server / Сергей Груздов (DataLine)
Other	https://kinescope.io/embed/201002733	Other	2022-03-30T11:10:55+00:00	PT55M40.028S	RTB в телевизоре и на улицах / Михаил Мельников (IPONWEB)
Other	https://kinescope.io/embed/201002735	Other	2022-03-30T11:10:55+00:00	PT51M56.978S	Anti-fraud solutions in RTB / Вадим Антонюк (IPONWEB)
Other	https://kinescope.io/embed/201002737	Other	2022-03-30T11:10:55+00:00	PT49M8.052S	Как 100 000 раз в секунду выбирать правильный рекламный материал / П.Бейзман (Data-Centric Alliance)
Other	https://kinescope.io/embed/201002743	Other	2022-03-30T11:10:56+00:00	PT49M19.987S	Отрисовать за 16 мс / Глеб Михеев (Beta Digital Production)
Other	https://kinescope.io/embed/201002761	Other	2022-03-30T11:10:57+00:00	PT41M29.899S	Роман Гребенников — Страх и ненависть в распределенных системах
Other	https://kinescope.io/embed/201002763	Other	2022-03-30T11:10:57+00:00	PT40M22.028S	Алексей Акулович — Архитектура растущего проекта на примере ВКонтакте
Other	https://kinescope.io/embed/201002765	Other	2022-03-30T11:10:57+00:00	PT37M51.191S	Евгений Потапов и Антон Баранов — Преждевременная оптимизация архитектуры
Other	https://kinescope.io/embed/201002767	Other	2022-03-30T11:10:57+00:00	PT45M4.707S	Наталия Ефремова — Нейронные сети
Other	https://kinescope.io/embed/201002769	Other	2022-03-30T11:10:57+00:00	PT33M20.469S	Владимир Бородин — История успеха Яндекс.Почты с PostgreSQL
Other	https://kinescope.io/embed/201002771	Other	2022-03-30T11:10:58+00:00	PT33M41.855S	Владимир Протасов — OpenResty
Other	https://kinescope.io/embed/201002773	Other	2022-03-30T11:10:58+00:00	PT34M0.268S	Никита Духовный — Балансировка нагрузки и отказоустойчивость в Одноклассниках
Other	https://kinescope.io/embed/201002775	Other	2022-03-30T11:10:58+00:00	PT42M37.539S	Александр Лебедев — Дизайн REST API для высокопроизводительных систем
Other	https://kinescope.io/embed/201002777	Other	2022-03-30T11:10:58+00:00	PT30M18.587S	Слава Бахмутов — Особенности архитектуры распределённого хранилища в Dropbox
Other	https://kinescope.io/embed/201002779	Other	2022-03-30T11:10:58+00:00	PT39M47.778S	Петр Зайцев — MySQL® и MongoDB® - когда что лучше использовать?
Other	https://kinescope.io/embed/201002781	Other	2022-03-30T11:10:58+00:00	PT53M53.495S	Андрей Аксенов — Снесите это немедленно
Other	https://kinescope.io/embed/201002783	Other	2022-03-30T11:10:59+00:00	PT53M56.421S	Вадим Мадисон — Микросервисы
Other	https://kinescope.io/embed/201002787	Other	2022-03-30T11:10:59+00:00	PT52M4.06S	Александр Зайцев — Переезжаем на Yandex ClickHouse
Other	https://kinescope.io/embed/201002789	Other	2022-03-30T11:10:59+00:00	PT47M13.973S	Валентин Гогичашвили — События, шины и интеграция данных в непростом мире микросервисов
Other	https://kinescope.io/embed/201002791	Other	2022-03-30T11:10:59+00:00	PT40M46.734S	Олег Облеухов — Как сделать высоконагруженный сервис, не зная количество нагрузки
Other	https://kinescope.io/embed/201002794	Other	2022-03-30T11:10:59+00:00	PT51M18.27S	Виктор Тарнавский — ClickHouse
Other	https://kinescope.io/embed/201002796	Other	2022-03-30T11:10:59+00:00	PT52M39.075S	Иван Круглов — Архитектура поиска в Booking.com
Other	https://kinescope.io/embed/201002800	Other	2022-03-30T11:11:00+00:00	PT45M13.345S	Как сделать ваш JavaScript быстрее / Роман Дворнов (Авито)
Other	https://kinescope.io/embed/201002806	Other	2022-03-30T11:11:00+00:00	PT52M52.311S	Архитектура хранения и отдачи фотографий в Badoo / Артем Денисов (Badoo)
Other	https://kinescope.io/embed/201002810	Other	2022-03-30T11:11:00+00:00	PT1H38M33.426S	Современные архитектуры диалоговых систем / Анатолий Востряков (Segmento)
Other	https://kinescope.io/embed/201002818	Other	2022-03-30T11:11:01+00:00	PT33M15.454S	Архитектура и алгоритмы для индексации всей музыки ВКонтакте / Алексей Акулович (ВКонтакте)
Other	https://kinescope.io/embed/201002826	Other	2022-03-30T11:11:02+00:00	PT56M47.111S	Что нового в nginx? / Максим Дунин (Nginx, Inc.)
Other	https://kinescope.io/embed/201002834	Other	2022-03-30T11:11:02+00:00	PT56M27.908S	Опыт миграции между дата-центрами / Михаил Тюрин, Сергей Бурладян (Avito)
Other	https://kinescope.io/embed/201002836	Other	2022-03-30T11:11:02+00:00	PT54M56.305S	Долгожданный релиз pg_pathman 1.0 / Александр Коротков
